고객ID ,데이터셋 구분,보험사기자여부,성별,연령,주택가격,거주TYPE,FP경력,고객등록년월,시도구분,직업그룹코드1,직업그룹코드2,납입총보험료,신용등급(최소),신용등급(최대),결혼여부,배우자직업그룹코드1,배우자직업그룹코드2,자녀수,막내자녀연령,최대보험료연월,최대보험료,고객추정소득,추정가구소득1,추정가구소득2
3920,1,N,1,49,19393,11,N,200309,경기,5.서비스,2차산업 종사자,59341083,4,4,Y,,,2,21,200311,473400,5064,6407,5064
3921,1,N,2,39,15351,40,Y,200309,대전,2.자영업,3차산업 종사자,76370619,6,6,Y,2.자영업,자영업,1,14,201604,653605,4045,3834,8715
3922,1,Y,1,27,3472,30,N,200309,대전,8.기타,학생,,,,N,,,0,0,200909,215341,0,4015,3999
3923,1,N,1,41,23333,20,N,200309,경기,6.제조업,2차산업 종사자,39920022,6,6,Y,1.주부,주부,2,6,200311,448537,4596,6608,4596
3926,1,N,1,43,21805,20,N,200309,충북,3.사무직,사무직,3600000,1,6,Y,1.주부,주부,2,8,200608,100000,5368,7137,5368
3929,1,N,2,38,10277,30,N,200310,서울,1.주부,주부,11458271,,,Y,3.사무직,사무직,1,11,200602,110209,0,4959,3509
3930,1,N,1,47,30416,20,N,200310,부산,3.사무직,사무직,40201625,6,6,Y,1.주부,주부,3,5,201107,495913,5520,7533,5520
3931,1,N,2,37,23055,20,N,200310,인천,1.주부,주부,7965141,6,6,Y,6.제조업,2차산업 종사자,1,5,201509,158477,0,6517,3943
3932,1,N,2,36,16250,20,N,200310,충북,8.기타,학생,36675796,,,N,,,0,0,201606,250000,0,4841,0
3933,1,N,1,41,49583,20,N,200310,인천,2.자영업,자영업,38443188,,,N,,,0,0,200405,265501,4904,10367,4904
3937,1,N,2,37,1322,12,N,200311,전남,1.주부,주부,7257259,7,7,Y,5.서비스,3차산업 종사자,4,9,201301,426026,0,2894,4352
3939,1,N,2,68,13637,11,N,200311,충남,8.기타,기타,18756514,6,6,N,,,0,0,201501,174258,,2412,4030
3940,2,,2,43,18873,30,N,200311,서울,1.주부,주부,5765480,6,6,N,,,0,0,200409,41300,0,0,0
3941,1,N,2,63,13333,20,N,200311,대전,2.자영업,자영업,5033400,,,N,,,0,0,200605,93180,,3797,3598
3944,1,Y,2,56,11527,20,N,200312,충북,5.서비스,종교인/역술인,31045321,6,7,Y,,,1,34,200909,382386,4221,5747,4221
3947,1,N,1,35,7962,12,N,200312,충북,2.자영업,자영업,25200000,7,7,N,,,0,0,201308,600000,4445,3672,4445
3948,1,N,1,47,52222,20,N,200312,서울,5.서비스,2차산업 종사자,20851885,,,Y,5.서비스,2차산업 종사자,0,0,200403,139450,4627,11366,8804
3949,2,,2,41,9154,12,N,200312,서울,1.주부,주부,21771592,10,6,Y,,,1,21,200806,229764,0,0,0
3950,1,N,1,59,1301,11,N,200312,전북,7.1차산업,1차산업 종사자,10374716,6,6,N,,,0,0,200709,259800,3551,4071,3551
3952,1,N,2,49,4444,20,N,200401,제주,2.자영업,자영업,13901566,5,99,Y,,,3,11,201211,364787,3792,4805,3792
3953,1,N,1,30,14861,20,N,200401,경남,4.전문직,3차산업 종사자,540000,6,9,N,,,0,0,200406,101700,3166,4284,3166
3954,1,N,1,56,15186,40,N,200401,경기,4.전문직,사무직,3751490,,,N,,,0,0,200709,450500,5088,6707,5088
3955,1,N,2,39,0,,N,200401,대구,1.주부,주부,7021671,,,N,,,0,0,200401,59100,0,0,0
3959,1,N,1,55,24722,20,N,200402,인천,6.제조업,전문직,18358729,6,6,Y,5.서비스,3차산업 종사자,2,25,200402,125290,5323,8385,8358
3960,1,N,2,39,18611,20,N,200402,경남,1.주부,주부,43643104,5,99,Y,3.사무직,사무직,2,8,201509,418682,0,5897,4965
3961,1,N,2,56,7638,20,N,200402,울산,5.서비스,3차산업 종사자,21897461,7,8,Y,,,2,33,200905,215507,3440,3747,3440
3964,2,,2,47,21207,11,N,200402,울산,4.전문직,학자/연구직,23249010,,,Y,5.서비스,2차산업 종사자,0,0,200403,287750,3989,4384,9136
3968,1,N,2,56,18888,20,Y,200403,대구,1.주부,주부,120028779,3,3,Y,,,2,24,201102,2188997,0,7550,6608
3969,1,N,2,37,12222,30,N,200403,경기,3.사무직,단순 사무직,20602118,6,6,N,,,0,0,200403,140600,3192,4413,3192
3970,1,N,2,53,30833,20,N,200403,경기,1.주부,주부,11907656,,,N,,,0,0,200708,112400,0,10057,10089
3971,1,N,1,37,15540,40,N,200403,서울,5.서비스,2차산업 종사자,2728001,,,N,,,0,0,200803,101900,3904,5057,3904
3972,1,N,1,47,46666,20,N,200403,경기,5.서비스,2차산업 종사자,47077535,6,6,Y,1.주부,주부,2,17,200701,484028,6550,10518,6550
3973,1,N,1,22,36666,20,N,200403,경기,8.기타,학생,48188,6,99,N,,,0,0,201606,6884,0,10168,8464
3977,1,N,2,51,0,,N,200403,서울,1.주부,주부,38150632,2,99,Y,5.서비스,3차산업 종사자,1,23,201605,642341,0,0,4679
3978,1,N,2,30,10000,30,N,200403,경기,3.사무직,사무직,59635824,,,N,,,0,0,200902,1001600,3322,3881,3322
3979,1,N,1,43,23055,20,N,200403,경기,5.서비스,2차산업 종사자,3817610,8,8,N,,,0,0,200503,179000,4803,5756,4803
3980,1,N,2,57,11666,20,N,200403,전북,1.주부,주부,4018431,6,6,Y,2.자영업,자영업,2,23,201606,263627,0,6106,4952
3981,1,N,2,33,18055,20,N,200404,충남,4.전문직,교육관련직,22491976,1,99,Y,6.제조업,2차산업 종사자,1,3,201504,513649,3428,5025,6897
3983,1,N,1,39,8027,11,N,200404,경기,8.기타,학생,29108100,,,N,,,0,0,200411,210000,0,3564,3553
3985,1,N,1,47,18055,20,N,200404,부산,5.서비스,3차산업 종사자,1102072,4,4,Y,1.주부,주부,2,14,200909,158800,4715,5737,4715
3986,1,N,2,41,7777,20,N,200404,경남,1.주부,주부,15090728,,,Y,3.사무직,공무원,0,0,200806,325164,0,3744,3804
3988,1,N,2,38,29027,20,N,200405,대구,5.서비스,3차산업 종사자,34767409,7,7,N,,,0,0,201506,305260,4176,7082,4176
3989,1,N,1,39,21250,20,N,200405,서울,4.전문직,전문직,35659866,6,6,Y,3.사무직,단순 사무직,1,8,200909,280573,4255,5949,7546
3991,1,N,1,36,2117,12,N,200405,대전,4.전문직,전문직,4652039,6,6,N,,,0,0,201606,79179,3864,0,3864
3992,1,N,2,56,4861,30,N,200405,제주,8.기타,3차산업 종사자,6327961,,,Y,,,1,22,200801,138680,3479,4321,3479
3993,1,N,2,47,9409,11,N,200405,경남,5.서비스,2차산업 종사자,6052365,6,6,Y,6.제조업,2차산업 종사자,3,14,200807,120000,3658,3654,8807
3995,1,N,2,33,13888,20,N,200405,인천,1.주부,주부,13612137,8,8,N,,,0,0,201403,195437,0,4061,3943
3997,1,N,2,51,13097,99,N,200405,경기,5.서비스,종교인/역술인,2054985,,,Y,,,4,24,200909,462668,3894,0,3894
3998,2,,2,60,43055,20,N,200405,경기,1.주부,주부,7072960,,,N,,,0,0,201003,49600,0,0,0
3999,1,N,1,59,8987,12,N,200406,충남,8.기타,1차산업 종사자,22513382,,,Y,1.주부,주부,2,18,200406,159650,4416,5155,4416
4000,1,N,1,38,9722,20,N,200406,경북,3.사무직,사무직,1144270,6,99,Y,2.자영업,3차산업 종사자,2,4,200408,300270,3842,3680,7444
4001,2,,2,49,25972,20,Y,200406,서울,1.주부,주부,18593108,,,Y,2.자영업,자영업,2,16,201606,216452,0,8187,5393
4002,1,N,2,56,19444,30,N,200406,경기,8.기타,3차산업 종사자,7949812,6,6,N,,,0,0,200406,55200,3991,0,3991
4004,1,N,2,40,0,,N,200406,전남,1.주부,주부,14861034,,,Y,5.서비스,3차산업 종사자,1,12,200702,251904,0,0,4461
4005,1,N,2,42,11570,40,N,200406,경기,4.전문직,교사,3925200,,,Y,,,1,11,200610,36000,4115,3869,4115
4007,1,N,2,42,16111,20,N,200406,인천,4.전문직,교육관련직,732500,,,N,,,0,0,201109,29300,3476,4787,3476
4008,2,,2,57,8337,99,N,200406,부산,1.주부,주부,23672138,1,99,Y,6.제조업,운전직,2,21,200703,371300,0,0,5213
4009,1,Y,2,33,30138,20,N,200406,서울,3.사무직,단순 사무직,1987900,,,N,,,0,0,200901,77200,3032,7949,3032
4010,1,N,2,51,20833,20,N,200406,광주,8.기타,3차산업 종사자,12386625,6,6,Y,3.사무직,사무직,2,25,200804,163776,3071,0,9183
4011,1,Y,2,42,6805,20,Y,200406,전남,5.서비스,3차산업 종사자,50608645,7,7,Y,2.자영업,자영업,1,18,200610,561101,4641,3454,9221
4012,2,,2,61,0,,N,200406,강원,1.주부,주부,9207775,,,Y,3.사무직,공무원,1,35,200407,77500,,0,0
4013,1,N,1,50,17777,20,N,200407,경기,5.서비스,2차산업 종사자,7618890,6,99,N,,,0,0,201602,444781,4593,7142,4593
4015,1,N,2,36,6666,20,N,200407,경북,4.전문직,의료직 종사자,17767146,6,6,Y,6.제조업,운전직,0,0,200709,697396,3030,2734,6426
4016,1,N,1,44,27500,20,N,200408,인천,5.서비스,2차산업 종사자,12370934,1,6,Y,3.사무직,사무직,1,9,200909,121813,4978,7223,8753
4017,1,N,1,53,1756,11,N,200408,전북,7.1차산업,1차산업 종사자,3607850,4,99,Y,,,1,28,200603,150000,3709,4542,3709
4018,1,Y,2,35,17916,20,N,200408,경기,5.서비스,3차산업 종사자,5051280,6,6,Y,3.사무직,기업/단체 임원,0,0,201205,201870,3401,4937,7338
4020,1,N,2,57,13333,30,N,200408,서울,1.주부,주부,27470012,6,6,N,,,0,0,200504,197157,0,5961,5853
4021,2,,2,56,11684,40,N,200408,부산,1.주부,주부,30380784,,,Y,6.제조업,2차산업 종사자,3,22,201108,810622,0,6325,4285
4023,1,N,2,68,5864,11,N,200409,전북,1.주부,주부,5695600,,,Y,5.서비스,2차산업 종사자,0,0,201606,49100,,3193,3167
4024,1,N,1,41,10044,40,N,200409,충북,6.제조업,2차산업 종사자,73008219,1,99,N,,,0,0,201309,646171,4185,4469,4185
4025,1,N,2,50,22777,20,N,200409,인천,5.서비스,예체능계 종사자,9801238,6,6,Y,4.전문직,전문직,2,20,201208,226619,4130,9768,9423
4027,1,N,2,36,34296,11,N,200410,인천,5.서비스,3차산업 종사자,4084242,7,7,N,,,0,0,200410,640500,3031,5559,3031
4029,1,N,2,52,26752,12,N,200410,경기,4.전문직,교육관련직,85307353,6,6,Y,3.사무직,사무직,3,18,201210,1286387,4783,6912,14152
4033,1,N,2,34,15138,20,N,200410,경북,3.사무직,사무직,3760000,,,Y,6.제조업,운전직,1,12,201606,37600,3084,4482,6912
4036,1,N,2,29,12840,11,N,200410,대구,6.제조업,2차산업 종사자,20982233,,,N,,,0,0,201606,100000,2776,6050,2776
4039,1,N,2,43,1733,13,N,200411,대구,4.전문직,전문직,1708116,6,6,N,,,0,0,201606,40123,2796,0,2796
4040,1,N,1,37,23333,20,N,200411,경기,3.사무직,사무직,5757344,6,6,N,,,0,0,200910,157146,3887,7812,3887
4045,1,N,1,34,25277,20,N,200412,충남,2.자영업,자영업,7806240,6,6,N,,,0,0,200903,108000,3879,7205,3879
4046,1,N,2,37,6746,11,N,200412,강원,4.전문직,공무원,15358848,,,Y,,,1,9,201606,119971,3319,3543,3319
4047,1,N,2,49,23888,20,N,200412,충남,2.자영업,자영업,13626219,6,6,Y,3.사무직,사무직,1,24,201401,267853,5468,7997,10667
4048,1,N,2,31,10138,20,N,200412,경남,3.사무직,단순 사무직,4707042,10,99,Y,3.사무직,2차산업 종사자,2,5,201501,305734,2695,3282,6196
4049,1,N,1,33,109583,20,N,200412,서울,3.사무직,사무직,4049433,6,7,N,,,0,0,201009,59434,4000,13899,4000
4050,1,N,2,62,16388,20,N,200412,경기,8.기타,단순 노무직,13449178,6,6,N,,,0,0,201508,167334,,5428,5652
4051,1,N,2,35,26944,20,N,200501,경남,3.사무직,단순 사무직,616900,,,N,,,0,0,200501,310000,2957,7562,2957
4052,1,N,1,32,4305,20,N,200501,경남,5.서비스,2차산업 종사자,11452057,8,8,Y,1.주부,주부,0,0,201205,205972,3206,2532,3206
4054,2,,1,60,12083,20,N,200501,강원,3.사무직,공무원,7821966,,,Y,1.주부,주부,0,0,200501,136200,4552,0,4552
4055,1,N,2,33,6960,12,N,200501,충북,3.사무직,사무직,6982431,7,7,N,,,0,0,201606,128304,3121,3507,3121
4056,2,,2,60,13839,12,N,200501,서울,1.주부,주부,4526000,6,6,N,,,0,0,201409,82750,0,0,0
4061,1,Y,1,33,8472,30,N,,,,,6031835,,,,,,,,201401,57300,,4357,
4062,1,N,1,38,42222,20,N,200502,부산,5.서비스,2차산업 종사자,2994000,6,6,Y,3.사무직,사무직,0,0,201010,49900,3848,9496,7448
4064,1,N,1,60,15138,20,N,,,,,,7,7,,,,,,200503,99500,,5892,
4065,1,N,1,57,19444,20,N,200502,서울,5.서비스,2차산업 종사자,34283790,,,Y,6.제조업,2차산업 종사자,2,27,200503,256500,4607,6553,7835
4066,1,N,2,35,20332,12,N,200503,서울,4.전문직,전문직,4100000,6,6,N,,,0,0,201111,100000,3694,5227,3694
4067,1,N,2,65,25833,30,N,200503,부산,8.기타,기타,15551202,6,6,Y,8.기타,기타,0,0,201212,304772,,7068,6919
4069,1,N,2,46,9166,20,N,200503,경남,1.주부,주부,18772880,,,Y,3.사무직,사무직,1,9,200809,149024,0,0,4421
4070,1,Y,2,61,13194,30,N,200503,경기,5.서비스,3차산업 종사자,21876107,6,6,N,,,0,0,201202,319943,,0,0
4072,1,N,1,41,18194,20,N,200503,광주,3.사무직,교육관련직,11728232,,,Y,4.전문직,교육관련직,1,12,200809,207800,4673,4282,8866
4073,1,Y,1,32,9166,20,N,200503,전북,2.자영업,자영업,13758187,,,N,,,0,0,200808,130020,3411,3519,3411
4074,1,N,1,40,16666,20,N,200503,강원,5.서비스,3차산업 종사자,7960270,,,N,,,0,0,200503,67000,3051,0,3051
4075,1,Y,2,68,4027,20,N,200503,강원,1.주부,주부,5940000,,,N,,,0,0,201510,49500,,2343,2318
4078,1,N,2,35,12767,13,N,200504,서울,2.자영업,자영업,19231801,5,99,N,,,0,0,201411,359011,4575,4600,4575
4079,1,N,2,57,6863,12,N,200504,광주,4.전문직,공무원,97626076,0,99,Y,5.서비스,2차산업 종사자,3,22,201109,1278116,5047,5359,10525
4080,1,N,2,43,20000,20,N,200504,경남,1.주부,주부,5139736,6,6,N,,,0,0,201606,34495,0,6026,5814
4084,1,N,2,39,6450,11,N,200505,부산,5.서비스,예체능계 종사자,2045250,,,N,,,0,0,201201,25250,3215,0,3215
4085,1,N,2,26,10496,11,N,200505,경북,3.사무직,사무직,8484422,6,6,N,,,0,0,201307,237490,2587,5714,2587
4086,2,,2,60,3782,12,N,200505,충남,1.주부,주부,7139130,,,Y,,,0,0,201003,466500,0,4396,8470
4087,1,Y,1,47,15660,12,N,200505,서울,3.사무직,사무직,51463057,3,99,Y,,,1,19,200805,932828,5563,4686,5563
4088,1,N,1,38,22222,30,N,200505,서울,2.자영업,자영업,35598240,7,8,N,,,0,0,201312,988840,5862,7330,5862
4092,1,N,2,57,0,,N,200505,전남,8.기타,3차산업 종사자,5298055,,,Y,8.기타,3차산업 종사자,0,0,201606,39835,3352,0,7822
4094,1,N,2,64,0,,N,200506,충북,8.기타,기타,289825,5,99,Y,8.기타,기타,0,0,201606,33575,,0,3903
4096,1,N,2,57,12916,20,Y,200506,충남,2.자영업,3차산업 종사자,36309068,6,6,Y,7.1차산업,1차산업 종사자,2,21,201203,1411118,3831,6146,7411
4098,1,N,2,37,15375,99,N,200506,경기,3.사무직,단순 사무직,12743679,10,99,Y,3.사무직,사무직,1,9,201604,642170,3705,0,7245
4099,1,N,2,71,17083,20,N,200506,부산,1.주부,주부,3089520,,,N,,,0,0,201606,24520,,2368,2267
4101,2,,1,37,23123,11,N,200506,충남,8.기타,3차산업 종사자,13045405,7,99,N,,,0,0,201206,211370,3952,5722,3952
4102,2,,2,36,19305,20,N,200506,경기,2.자영업,자영업,29691080,,,Y,3.사무직,기업/단체 임원,0,0,200812,333720,3851,5098,7503
4103,2,,1,41,9722,20,N,200506,경남,6.제조업,2차산업 종사자,,6,6,Y,1.주부,주부,1,16,201412,351531,3994,0,3994
4106,1,N,1,42,38611,20,N,200506,충남,4.전문직,학자/연구직,41320254,6,6,Y,4.전문직,교육관련직,1,5,201508,757570,5481,10304,9251
4108,1,N,2,43,22222,20,Y,200507,울산,2.자영업,3차산업 종사자,11891628,6,6,Y,2.자영업,자영업,2,17,201401,838052,4417,6073,9677
4111,1,N,1,36,6609,12,N,200507,인천,3.사무직,사무직,8505320,3,6,Y,3.사무직,사무직,1,12,201312,350401,3777,3537,7020
4112,1,N,2,40,8750,20,N,200507,경북,1.주부,주부,12080991,,,Y,6.제조업,2차산업 종사자,2,6,201106,284803,0,4647,4425
4113,1,N,1,32,0,,N,200507,충남,5.서비스,2차산업 종사자,13247956,6,6,N,,,0,0,201606,299500,3309,0,3309
4114,1,N,2,78,3228,12,N,200507,전북,8.기타,기타,4170000,,,N,,,0,0,201506,34750,,1477,1479
4117,1,N,2,51,1435,13,N,200508,대전,2.자영업,자영업,5976485,10,7,Y,,,1,34,200508,327050,4171,4708,4171
4118,1,N,2,47,6227,12,N,200508,경남,3.사무직,단순 사무직,15288084,,,Y,6.제조업,2차산업 종사자,3,15,200510,119700,3408,3288,7112
4119,1,N,2,66,4960,99,N,200508,전북,1.주부,주부,14459980,,,Y,7.1차산업,1차산업 종사자,0,0,200609,298340,,0,3057
4121,1,N,2,48,7681,40,N,200508,경북,4.전문직,의료직 종사자,5373612,10,99,Y,4.전문직,사무직,2,14,201306,338106,3288,6318,7781
4122,1,Y,2,42,7049,40,N,200509,전북,1.주부,주부,6129822,,,Y,4.전문직,학자/연구직,0,0,201605,47518,0,3881,5380
4123,1,N,2,64,17819,11,N,200509,충남,5.서비스,3차산업 종사자,19531407,,,N,,,0,0,200509,272700,,5227,5080
4124,1,N,2,36,24444,20,N,200509,전남,1.주부,주부,33779246,7,99,Y,4.전문직,전문직,2,5,201606,784685,0,7120,4975
4126,1,N,2,42,29760,12,N,200509,서울,1.주부,주부,5178692,6,6,N,,,0,0,201606,75688,0,5690,6201
4127,1,N,1,34,9069,40,N,200509,경기,6.제조업,2차산업 종사자,15019900,6,6,N,,,0,0,200903,349300,3487,2564,3487
4128,1,N,2,39,39066,20,N,200509,경기,1.주부,주부,24350785,6,6,Y,4.전문직,전문직,2,3,201403,468132,0,9880,5210
4129,1,N,2,68,12284,30,N,200509,서울,1.주부,주부,8233216,,,N,,,0,0,201606,64322,,2302,2402
4130,1,N,2,32,2172,11,N,200509,전남,8.기타,학생,11223006,,,N,,,0,0,201410,273286,0,4100,4126
4132,1,N,2,70,4751,12,N,200510,부산,8.기타,기타,7344410,,,N,,,0,0,201605,57830,,3020,2987
4133,1,N,2,36,20277,20,N,200510,부산,4.전문직,교사,33301606,1,99,N,,,0,0,201501,492130,4003,5584,4003
4134,1,Y,2,52,23114,11,N,200510,경남,1.주부,주부,19994871,6,6,Y,5.서비스,2차산업 종사자,1,20,201508,504538,0,7732,4735
4135,1,N,1,58,0,,N,200510,인천,8.기타,3차산업 종사자,20739148,6,6,Y,1.주부,주부,0,0,200510,162380,3957,0,3957
4136,1,N,2,36,18055,20,N,200510,인천,3.사무직,단순 사무직,31314428,6,6,N,,,0,0,201606,570229,3546,5824,3546
4137,1,N,2,51,12083,30,N,200510,경기,3.사무직,사무직,5754702,6,6,Y,,,1,6,201206,90642,4166,0,4166
4141,2,,2,60,8719,13,N,200511,부산,2.자영업,자영업,17949394,,,Y,,,1,34,200512,148600,4099,5364,4099
4142,1,N,2,37,6388,20,N,200511,전남,3.사무직,단순 사무직,7369696,6,7,Y,3.사무직,사무직,2,9,200909,208000,3007,3327,7535
4143,1,N,2,34,98616,11,N,200511,울산,2.자영업,자영업,14711024,,,N,,,0,0,200906,719592,3786,11649,3786
4144,1,N,2,76,1696,13,N,200512,전북,8.기타,기타,4120200,,,N,,,0,0,201606,32700,,1483,1476
4146,1,N,2,34,8014,11,N,200512,충북,1.주부,주부,2678882,9,9,Y,6.제조업,운전직,1,4,201504,155220,0,3648,3900
4147,1,N,2,64,3596,13,N,200512,경기,1.주부,주부,3588480,,,N,,,0,0,201606,28480,,0,0
4148,1,N,2,62,0,,N,200512,경기,5.서비스,3차산업 종사자,9700122,,,Y,8.기타,단순 노무직,0,0,200701,312518,,0,2460
4149,2,,2,41,12222,30,N,200512,서울,5.서비스,3차산업 종사자,4083643,9,9,Y,3.사무직,사무직,0,0,201208,79873,2943,5441,7045
4150,1,N,2,65,9583,30,N,200601,인천,1.주부,주부,5567310,,,Y,,,0,0,201606,44185,,3750,3720
4151,1,Y,2,54,19722,20,N,200601,인천,1.주부,주부,2890888,,,Y,5.서비스,2차산업 종사자,2,30,200801,206492,0,8277,5108
4152,1,N,1,21,0,,N,200601,경기,8.기타,학생,259588,6,99,N,,,0,0,201602,52336,0,0,0
4154,1,N,1,34,14444,20,N,200601,경기,3.사무직,고위 공무원,10284344,,,N,,,0,0,201004,87840,3590,5362,3590
4155,1,N,2,13,8472,30,N,200601,경기,8.기타,학생,520820,6,6,N,,,0,0,201312,52082,,4889,4847
4157,1,N,1,37,30137,40,N,200602,서울,5.서비스,2차산업 종사자,2142605,6,6,N,,,0,0,200604,86500,4117,9399,4117
4159,1,N,2,33,0,,N,200602,서울,4.전문직,교사,5885001,8,8,N,,,0,0,200602,126423,3058,0,3058
4160,1,N,2,54,8505,11,N,200602,대구,5.서비스,3차산업 종사자,79244870,2,99,Y,5.서비스,2차산업 종사자,2,25,201502,1037446,5240,5608,9820
4163,1,N,2,51,2583,11,N,200602,경북,1.주부,주부,4356250,,,N,,,0,0,201606,34850,0,4753,4735
4165,1,N,2,40,14449,12,N,200603,경기,4.전문직,예체능계 종사자,3035250,6,6,N,,,0,0,201401,31950,3729,0,3729
4166,1,N,2,49,32916,30,N,200603,서울,8.기타,3차산업 종사자,72563695,6,6,N,,,0,0,201308,1037104,3458,10075,3458
4167,1,N,1,40,9166,20,N,200603,강원,4.전문직,공무원,934150,6,6,N,,,0,0,201211,27475,3638,0,3638
4169,1,N,2,31,16111,30,N,200603,서울,8.기타,학생,1179723,,,N,,,0,0,200802,147650,0,4966,4939
4170,1,N,2,49,10322,99,Y,200603,대구,2.자영업,자영업,57355335,4,99,Y,,,2,20,201111,1471689,4906,0,4906
4171,1,N,1,36,19166,20,N,200603,충남,5.서비스,2차산업 종사자,23882280,1,99,N,,,0,0,201605,298805,3830,5376,3830
4172,1,N,2,36,8385,40,N,200603,경남,8.기타,학생,,,,Y,6.제조업,운전직,0,0,201309,88740,0,3978,3407
4175,1,N,2,37,19027,20,N,200603,대구,1.주부,주부,3321000,6,6,N,,,0,0,201606,27000,0,0,0
4176,1,N,2,47,12777,20,Y,200603,광주,2.자영업,3차산업 종사자,22805643,6,6,N,,,0,0,201403,1023497,4018,4725,4018
4178,1,N,2,33,0,,N,200604,서울,1.주부,주부,9957560,7,7,N,,,0,0,200604,85960,0,0,0
4179,1,N,2,32,29608,20,N,200604,경기,5.서비스,3차산업 종사자,39777555,,,N,,,0,0,200805,1017753,4352,7497,4352
4180,1,N,1,36,23285,99,N,200604,서울,2.자영업,자영업,1607660,,,N,,,0,0,200902,51860,4043,0,4043
4181,1,Y,2,33,24722,20,N,200604,서울,2.자영업,자영업,2909582,,,N,,,0,0,200812,108810,3364,6935,3364
4182,1,Y,2,35,14444,20,N,200604,광주,3.사무직,단순 사무직,9390681,,,N,,,0,0,200702,455800,3403,5360,3403
4184,1,N,2,43,6881,40,N,200605,광주,5.서비스,3차산업 종사자,5951990,,,N,,,0,0,201605,49190,3818,0,3818
4186,1,N,2,68,9861,20,N,200605,부산,6.제조업,2차산업 종사자,4873800,,,N,,,0,0,201606,40615,,3248,3158
4187,1,N,1,34,12829,11,N,200605,울산,6.제조업,2차산업 종사자,12728662,6,6,N,,,0,0,200702,106240,3147,2639,3147
4188,1,Y,2,50,0,,N,200605,서울,1.주부,주부,56393680,7,7,N,,,0,0,201312,484610,0,0,0
4193,1,N,2,32,11600,12,N,200606,경기,5.서비스,3차산업 종사자,14720559,,,N,,,0,0,200606,123900,3013,2528,3013
4194,1,N,2,49,15278,12,N,200606,서울,2.자영업,자영업,9241649,,,Y,5.서비스,2차산업 종사자,1,27,201502,509523,3997,4695,8315
4195,1,N,1,41,5268,12,N,200606,대구,4.전문직,2차산업 종사자,13438214,,,N,,,0,0,200908,249762,5468,2879,5468
4198,1,N,2,45,20555,20,N,200607,인천,3.사무직,사무직,5827360,,,N,,,0,0,200705,150500,4030,6299,4030
4200,1,N,1,67,15000,30,N,200607,서울,5.서비스,2차산업 종사자,13614012,,,Y,1.주부,주부,0,0,200703,381042,,3058,3047
4201,1,N,2,35,33611,20,N,200607,경기,4.전문직,전문직,8548480,,,N,,,0,0,200608,121600,4243,8069,4243
4203,1,N,1,42,37777,20,N,200608,서울,4.전문직,전문직,61453786,6,6,Y,3.사무직,단순 사무직,1,12,201511,851774,5328,10002,9021
4205,1,N,2,34,35138,20,N,200609,경기,1.주부,주부,11179525,6,6,Y,3.사무직,사무직,0,0,200801,96500,0,7203,5287
4208,1,N,2,58,6820,12,N,200609,서울,8.기타,3차산업 종사자,20505918,4,6,N,,,0,0,201606,190538,2790,6193,2790
4209,1,N,2,34,9583,20,N,200609,대구,3.사무직,사무직,4645862,,,N,,,0,0,200611,78200,2951,3189,2951
4211,1,N,2,61,10930,12,N,200609,서울,5.서비스,3차산업 종사자,28357592,6,6,Y,2.자영업,자영업,1,24,201305,576118,,5644,5559
4214,1,N,2,27,22222,20,N,200609,경남,8.기타,학생,5345603,6,6,N,,,0,0,201112,111021,0,8475,8082
4215,2,,2,27,13888,20,N,200610,경기,8.기타,학생,5201740,6,6,N,,,0,0,200706,300000,0,2376,2351
4216,2,,2,34,12222,20,N,200610,경기,3.사무직,단순 사무직,7500709,6,6,Y,6.제조업,전문직,0,0,200610,139700,3048,3612,6774
4217,1,N,2,58,4439,99,N,200610,충남,6.제조업,2차산업 종사자,1206150,,,N,,,0,0,200802,70950,3398,0,3398
4218,1,N,2,35,6024,50,N,200610,경기,4.전문직,의료직 종사자,21871896,6,7,N,,,0,0,201403,314148,3313,3310,3313
4220,1,N,1,73,2484,11,N,200611,경북,7.1차산업,1차산업 종사자,15929014,3,6,Y,7.1차산업,1차산업 종사자,0,0,201008,659217,,1664,2615
4221,1,N,1,54,12222,20,N,200611,경기,7.1차산업,1차산업 종사자,59984853,6,6,Y,3.사무직,사무직,2,24,201209,738807,5679,6239,10391
4223,1,N,1,38,20942,12,N,200611,서울,5.서비스,2차산업 종사자,5465641,7,7,N,,,0,0,201109,186579,4030,5727,4030
4224,1,N,2,53,9369,40,N,200611,경남,5.서비스,3차산업 종사자,9987993,7,7,Y,6.제조업,운전직,2,23,201301,218855,3792,6426,8584
4225,1,N,2,62,2845,12,N,200611,경남,5.서비스,종교인/역술인,23875631,5,6,Y,7.1차산업,1차산업 종사자,1,33,201011,629856,,4096,
4226,1,N,2,33,9648,12,N,200611,경기,6.제조업,2차산업 종사자,8140600,6,6,N,,,0,0,200911,79100,3027,3794,3027
4227,1,N,2,37,27261,20,N,200612,대구,3.사무직,사무직,9411154,6,6,Y,5.서비스,3차산업 종사자,0,0,201110,124603,3610,6856,7419
4228,1,N,2,42,6370,12,N,200612,경기,1.주부,주부,26038552,1,99,Y,,,2,19,201605,768136,0,3318,3286
4229,1,N,2,38,12777,20,N,200612,경기,1.주부,주부,5654400,6,6,N,,,0,0,201606,49600,0,0,0
